_id,name,min,max,val,employer,address,link
40856394,Инженер-технолог,70000.0,,руб,ООО РоссПак,Новосибирск,https://ramenskoye.hh.ru/vacancy/40856394?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40714170,Инженер-схемотехник/Инженер-электронщик,90000.0,,руб,ООО ИК Ренова,"Санкт-Петербург, Обводный Канал",https://ramenskoye.hh.ru/vacancy/40714170?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
39433321,Инженер данных,110000.0,150000.0,руб, Открытые Технологии,"Москва, Серпуховская",https://ramenskoye.hh.ru/vacancy/39433321?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41104563,Главный инженер,200000.0,,руб,ПАО Русолово,Улан-Удэ,https://ramenskoye.hh.ru/vacancy/41104563?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40136986,Инженер проекта,,,,ООО ДАЛЬКИЯ РУС,Москва,https://ramenskoye.hh.ru/vacancy/40136986?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41004442,DevOps-инженер,160000.0,210000.0,руб, Progressive Mind,"Москва, Международная",https://ramenskoye.hh.ru/vacancy/41004442?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41109924,Главный инженер,,,,ООО Вильма,Ульяновск,https://ramenskoye.hh.ru/vacancy/41109924?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41135874,Инженер ПТО,100000.0,,руб,ООО СМК Тимер,Новочебоксарск,https://ramenskoye.hh.ru/vacancy/41135874?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40592491,Главный инженер,100000.0,,руб, Компания РОСА,Красноярск,https://ramenskoye.hh.ru/vacancy/40592491?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40696493,Главный инженер,,120000.0,руб,ООО УК «МНПО «СПЕКТР»,"Москва, Спортивная",https://ramenskoye.hh.ru/vacancy/40696493?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40817209,Инженер-конструктор,60000.0,,руб,ООО ТрансТехКомпозит,Воскресенск,https://ramenskoye.hh.ru/vacancy/40817209?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40958613,Инженер ПТО,79000.0,,руб,ООО АМДтехнологии,Екатеринбург,https://ramenskoye.hh.ru/vacancy/40958613?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41095535,Инженер I категории,50000.0,50000.0,руб, ФГБОУ ВО Приволжский исследовательский медицинский университет Минздрава России,Нижний Новгород,https://ramenskoye.hh.ru/vacancy/41095535?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40981461,Главный инженер,,,, ANCOR,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/40981461?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41087692,Инженер ОТК,60000.0,100000.0,руб,ООО НПО Экосистема,Зеленоград,https://ramenskoye.hh.ru/vacancy/41087692?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40955084,Инженер ПТО,40000.0,,руб,ООО Агломераты,"Москва, Улица 1905 года",https://ramenskoye.hh.ru/vacancy/40955084?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41045374,Инженер-конструктор,70000.0,,руб,ООО МехПрибор,Москва,https://ramenskoye.hh.ru/vacancy/41045374?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40805690,Инженер-программист,100000.0,140000.0,руб,ООО ИНИТИ,"Москва, Серпуховская",https://ramenskoye.hh.ru/vacancy/40805690?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41117850,Инженер ПТО,50000.0,100000.0,руб,ООО Агат,Геленджик,https://ramenskoye.hh.ru/vacancy/41117850?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41114103,Главный инженер,,,,АО ЧЗМ,Чебоксары,https://ramenskoye.hh.ru/vacancy/41114103?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41115510,Инженер ПТО,60000.0,60000.0,руб,ООО СК Строитель Востока,Владивосток,https://ramenskoye.hh.ru/vacancy/41115510?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41115983,Инженер-технолог,600.0,75000.0,руб,АО Усть-Луга Ойл,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41115983?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
