_id,name,min,max,val,employer,address,link
35160485,Главный инженер проекта с функциями инженера-технолога/проектировщика,,,,Технопарк «Сколково»,Жуковский,https://superjob.ru/vakansii/glavnyj-inzhener-proekta-s-funkciyami-inzhenera-tehnologa-35160485.html
35160473,Инженер слаботочных систем select,60000.0,,руб,Охранная Организация АН-Секьюрити,Москва,https://superjob.ru/vakansii/inzhener-slabotochnyh-sistem-35160473.html
35145647,Инженер ПТО,65000.0,,руб,КИЗ-Строй,Москва,https://superjob.ru/vakansii/inzhener-pto-35145647.html
34627243,Инженер ПТО (производственно-технического отдела),80000.0,,руб,Новострой,Москва,https://superjob.ru/vakansii/inzhener-pto-34627243.html
34800897,Инженер/ ведущий инженер (эксплуатация и испытания авиационной и космической техники),,,,ГКНПЦ имени М. В. Хруничева,Москва,https://superjob.ru/vakansii/inzhener-34800897.html
35228303,Инженер ОТ и ТБ,70000.0,,руб,Фасад Строй,Москва,https://superjob.ru/vakansii/inzhener-ot-i-tb-35228303.html
34798881,Инженер-сметчик,80000.0,,руб,"ООО ""АрхСтройГрупп""",Москва,https://superjob.ru/vakansii/inzhener-smetchik-34798881.html
34427072,Инженер ПТО (инженер технического надзора),60000.0,,руб,МИСК,Москва,https://superjob.ru/vakansii/inzhener-pto-34427072.html
28833761,"Инженер слаботочных систем, ОПС и видеонаблюдения",50000.0,,руб,Монтажград,Москва,https://superjob.ru/vakansii/inzhener-slabotochnyh-sistem-28833761.html
35369889,Инженер ПКМ,80000.0,,руб,Всероссийский научно-исследовательский институт авиационных материалов,Москва,https://superjob.ru/vakansii/inzhener-pkm-35369889.html
34118026,Инженер коммерческого отдела по НКУ (удаленная работа),45000.0,,руб,АВВ-электрощит,Москва,https://superjob.ru/vakansii/inzhener-kommercheskogo-otdela-po-nku-34118026.html
35159461,Инженер производственно-технического отдела,100000.0,,руб,ООО Ленстрой №1,Москва,https://superjob.ru/vakansii/inzhener-proizvodstvenno-tehnicheskogo-otdela-35159461.html
35293665,Начинающий инженер технической поддержки,30000.0,,руб,РСС,Москва,https://superjob.ru/vakansii/nachinayuschij-inzhener-tehnicheskoj-podderzhki-35293665.html
35275198,Инженер-сметчик,,,,Почта России,Москва,https://superjob.ru/vakansii/inzhener-smetchik-35275198.html
29933861,"Инженер-оптик, инженер-технолог (оптик)",,,,Лазерные Компоненты,Москва,https://superjob.ru/vakansii/inzhener-optik-29933861.html
29539162,Инженер по охране окружающей среды (эколог),60000.0,,руб,"Филиал по пресноводному рыбному хозяйству  ФГБНУ ""ВНИРО"" (""ВНИИПРХ"")",Москва,https://superjob.ru/vakansii/inzhener-po-ohrane-okruzhayuschej-sredy-29539162.html
34299162,Инженер 1 категории (робототехника),70000.0,,руб,ТЕТИС ПРО,Москва,https://superjob.ru/vakansii/inzhener-1-kategorii-34299162.html
35285306,Инженер-монтажник / Монтажник видеонаблюдения,45000.0,,руб,Ракурс Безопасности,Москва,https://superjob.ru/vakansii/inzhener-montazhnik-35285306.html
35294172,Инженер ПТО,,,,СтеллаСтрой,Москва,https://superjob.ru/vakansii/inzhener-pto-35294172.html
34924723,Ведущий инженер ПТО,,70000.0,руб,«Россети Московский регион»,Москва,https://superjob.ru/vakansii/veduschij-inzhener-pto-34924723.html
35427489,Инженер-программист (системное ПО на С/С++ в ОС Linux x86_64),160000.0,,руб,Президент Сервис Консалт,Москва,https://superjob.ru/vakansii/inzhener-programmist-35427489.html
35159380,Инженер конструктор,60000.0,,руб,Двери-Кредо,Подольск,https://superjob.ru/vakansii/inzhener-konstruktor-35159380.html
35170637,Инженер сервиса,40000.0,,руб,Каверион Санкт-Петербург,Москва,https://superjob.ru/vakansii/inzhener-servisa-35170637.html
35226798,Инженер-проектировщик Пожаротушения (АПТ),,,,МОНТАЖСЕТЬСТРОЙ,Москва,https://superjob.ru/vakansii/inzhener-proektirovschik-pozharotusheniya-35226798.html
35275200,Инженер технического надзора,,,,Почта России,Москва,https://superjob.ru/vakansii/inzhener-tehnicheskogo-nadzora-35275200.html
34171418,Инженер-конструктор (ГАЗОДИНАМИКА),,,,ГКНПЦ имени М. В. Хруничева,Москва,https://superjob.ru/vakansii/inzhener-konstruktor-34171418.html
34623229,Инженер ПТО,60000.0,,руб,,Москва,https://superjob.ru/vakansii/inzhener-pto-34623229.html
34824705,Инженер ОТК (парфюмерная фабрика),40000.0,,руб,Новая Заря,Москва,https://superjob.ru/vakansii/inzhener-otk-34824705.html
35226899,Инженер электросвязи,41000.0,,руб,Ростелеком,Люберцы,https://superjob.ru/vakansii/inzhener-elektrosvyazi-35226899.html
35294011,Инженер по вентиляции,,306.0,руб,"ФГБУ ""ДОД Росимущества""",Москва,https://superjob.ru/vakansii/inzhener-po-ventilyacii-35294011.html
33245483,Главный инженер по с/х технике,,,,АКБ «АВАНГАРД»,Москва,https://superjob.ru/vakansii/glavnyj-inzhener-po-s-33245483.html
34266349,Инженер-проектировщик систем электроснабжения,,,,ЛАНИТ,Москва,https://superjob.ru/vakansii/inzhener-proektirovschik-sistem-elektrosnabzheniya-34266349.html
35350933,Инженер,55000.0,,руб,Твой Дом,Москва,https://superjob.ru/vakansii/inzhener-35350933.html
24802199,Техник-чертежник / Помощник инженера-проектировщика,30000.0,,руб,ГРАНД ХОЛДИНГ СТРОЙ,Люберцы,https://superjob.ru/vakansii/tehnik-chertezhnik-24802199.html
