_id,name,compensation,employer,address,link
40959459,Ведущий инженер,"{'min': 370000, 'val': 'KZT', 'max': None}",ТОО АФЛП,Талгар,https://ramenskoye.hh.ru/vacancy/40959459?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41060416,Инженер-дефектоскопист,"{'min': 90000, 'val': 'руб', 'max': None}",ООО Газдиагностика,Екатеринбург,https://ramenskoye.hh.ru/vacancy/41060416?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40855694,Presale-инженер/инженер-технолог (Автоматизация),"{'min': 80000, 'max': 150000, 'val': 'руб'}", Top 3D Group,Москва,https://ramenskoye.hh.ru/vacancy/40855694?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41065592,Главный инженер,"{'min': 100000, 'max': 100000, 'val': 'руб'}",АО Атлантис,"Москва, Войковская",https://ramenskoye.hh.ru/vacancy/41065592?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41039625,Инженер по снабжению,"{'min': None, 'max': None, 'val': None}",АО Роснефтефлот,Москва,https://ramenskoye.hh.ru/vacancy/41039625?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41071510,Инженер-схемотехник / Ведущий инженер-схемотехник,"{'min': 130000, 'val': 'руб', 'max': None}","ООО Технические системы-сервис, качество и надежность","Москва, Бауманская и еще 1 ",https://ramenskoye.hh.ru/vacancy/41071510?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41014668,Инженер-проектировщик систем электроснабжения,"{'min': 100000, 'val': 'руб', 'max': None}",ООО Вольт АП,Москва,https://ramenskoye.hh.ru/vacancy/41014668?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40752059,Главный инженер,"{'min': 70000, 'max': 150000, 'val': 'руб'}",ООО Агрофирма Чистопольская,Чистополь,https://ramenskoye.hh.ru/vacancy/40752059?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40868280,Инженер-конструктор,"{'min': 80000, 'max': 120000, 'val': 'руб'}",ООО Zart,Москва,https://ramenskoye.hh.ru/vacancy/40868280?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41027346,Инженер по строительному контролю,"{'min': 70000, 'val': 'руб', 'max': None}",ООО Бау Констракшн,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41027346?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40797868,Инженер ПТО,"{'min': 100000, 'val': 'руб', 'max': None}",ООО АРМАДА,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/40797868?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41064413,Инженер-технолог (удаленная работа),"{'min': None, 'max': None, 'val': None}",ООО Спецстандарт,Саратов,https://ramenskoye.hh.ru/vacancy/41064413?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40919014,Инженер-конструктор,"{'min': 55000, 'max': 75000, 'val': 'руб'}",ООО Завод Ковшей Спб,"Санкт-Петербург, Кировский завод",https://ramenskoye.hh.ru/vacancy/40919014?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
