_id,name,compensation,employer,address,link
33868090,Инженер сети,"{'max': 87000, 'val': 'руб', 'min': None}",Coleman Services,Москва,/vakansii/inzhener-seti-33868090.html
35189467,Ассистент сервисного инженера (стажер),"{'min': 60000, 'val': 'руб', 'max': None}",МОССЕРВИС,Москва,/vakansii/assistent-servisnogo-inzhenera-35189467.html
35264489,"Главный инженер, руководитель проекта","{'min': 110000, 'val': 'руб', 'max': None}",ТрансСтройПуть,Москва,/vakansii/glavnyj-inzhener-35264489.html
34632640,Ведущий инженер,"{'min': 50000, 'val': 'руб', 'max': None}",Российская детская клиническая больница Минздрава РФ,Москва,/vakansii/veduschij-inzhener-34632640.html
35392381,Инженер,"{'min': None, 'max': None, 'val': None}",IT компания,Совхоз им. Ленина,/vakansii/inzhener-35392381.html
35187948,Инженер ПТО,"{'min': 80000, 'val': 'руб', 'max': None}",Фасад Строй,Москва,/vakansii/inzhener-pto-35187948.html
33516708,Инженер по ремонту электроники (цифровая измерительная техника),"{'min': None, 'max': None, 'val': None}",Тэсто Рус,Москва,/vakansii/inzhener-po-remontu-elektroniki-33516708.html
34741310,"Ведущий инженер (пенопласты, сферопластики)","{'min': 80000, 'val': 'руб', 'max': None}",Всероссийский научно-исследовательский институт авиационных материалов,Москва,/vakansii/veduschij-inzhener-34741310.html
34735690,Инженер-наладчик котельного оборудования,"{'min': 440, 'val': 'руб', 'max': None}",Группа Компаний Олимп Энергетика,Москва,/vakansii/inzhener-naladchik-kotelnogo-oborudovaniya-34735690.html
29364544,Сменный инженер по эксплуатации инженерного оборудования,"{'min': 35000, 'val': 'руб', 'max': None}",,Москва,/vakansii/smennyj-inzhener-po-ekspluatacii-inzhenernogo-oborudovaniya-29364544.html
35263968,Инженер IT отдела по телефонии,"{'min': None, 'max': None, 'val': None}",ПрезиДЕНТ,Москва,/vakansii/inzhener-it-otdela-po-telefonii-35263968.html
12023434,Ведущий инженер-проектировщик электроснабжения,"{'min': 70000, 'val': 'руб', 'max': None}",АМДтехнологии,Москва,/vakansii/veduschij-inzhener-proektirovschik-elektrosnabzheniya-12023434.html
35317004,Инженер-сметчик,"{'min': None, 'max': None, 'val': None}",Бизнес-Инициатива,Москва,/vakansii/inzhener-smetchik-35317004.html
